Artist,Id,Genres,New Name,name,id
,,,,El Reino Infantil,6EMoWayH9WulC8F8b6m3BH
,,,,Muni Long,7tjVFCxJdwT4NdrTmjyjQ6
,,,,Mc IG,2q9wk5fkeU2C9CgCKdh4AN
,,,,Manu,0tmwSHipWxN12fsoLcFU3B
,,,,Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ
,,,,P!nk,1KCSPY1glIKqW2TotWuXOR
,,,,Internet Money,6MPCFvOQv5cIGfw3jODMF0
,,,,Violent Femmes,0rpMdBzQXf7aYRnu5fDBJy
,,,,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK
,,,,Carella,1QQjE3XoC9bDaB6intnybg
,,,,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs
,,,,Jasleen Royal,74OaRjmyh0XyRZsQQQ5l7c
,,,,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt
,,,,Khaid,2mM6BxFQCd6BHzW4W7VhQP
,,,,Cupula Roja,6PxrK0m3obGBLICs889pqm
,,,,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
,,,,Lil Peep,2kCcBybjl3SAtIcwdWpUe3
,,,,Kush & TJ,2OpEaADE9ewtjsDow31XiO
,,,,Khesari Lal Yadav,69WMBCOrVeaxtZJCowDJ0a
,,,,Kordhell,2W6WP4pHQTFlbr2z9S4n54
,,,,Sia,5WUlDfRSoLAfcVSX1WnrxN
,,,,Ian G.,6RSJ4zdIpFUTox5mkm3dPH
,,,,ati2x06,3lM7oQy191ThpVzhdS1UUa
,,,,Troye Sivan,3WGpXCj9YhhfX11TToZcXP
,,,,Rihanna,5pKCCKE2ajJHZ9KAiaK11H
,,,,Aurel Surya Lie,03yoR16jizXZTzIDiC29YB
,,,,Elton John,3PhoLpVuITZKcymswpck5b
,,,,IVE,6RHTUrRF63xao58xh9FXYJ
,,,,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n
,,,,benny blanco,5CiGnKThu5ctn9pBxv7DGa
,,,,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb
,,,,Lil Mabu,6FAo7ORAHEzSSf5q10LLfN
,,,,Shubh,5r3wPya2PpeTTsXsGhQU8O
,,,,Riton,7i9j813KFoSBMldGqlh2Z1
,,,,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW
,,,,Victoria Monï¿½,63XBtGSEZINSyXylZxEUbv
,,,,Shiva Choudhary,3KOSRNy74RLnTAFn0u1tmN
,,,,King Gnu,6wxfx1yhyqjCPYwwxJktR2
,,,,Bayanni,6FbCERtE2CKqEWihHMYjcG
,,,,Big One,2OhUNb01gLwygOizYvTm0e
,,,,Sanju Rathod,4B9efXsA6sv4w3vts8E0T7
,,,,Topic,0u6GtibW46tFX7koQ6uNJZ
,,,,Hollywood Dots The Oncelor,6K3pjjDHZcqtgkRRlcndtq
